EntityKey,AccountKey,IdentifierValue,IdentifierValueSSN,AddressKey,AccountPeriodKey,CaseID
1453848,6725897,665976348,665-97-6348,6619545,5626931,3519610
1453849,6725896,574558419,574-55-8419,6618379,5626932,3519611
1453850,6725895,516536729,516-53-6729,6618599,5626933,3519612
1453851,6725894,593869177,593-86-9177,6453062,5626934,3519613
1453852,6725893,149578595,149-57-8595,6453276,5626935,3519614
1453853,6725892,224436233,224-43-6233,6618341,5626936,3519615
1453854,6725891,124768671,124-76-8671,6453625,5626937,3519616
1453855,6725890,252558230,252-55-8230,6452812,5626938,3519617
1453856,6725889,966143505,966-14-3505,6618998,5626939,3519618
1453857,6725888,172602762,172-60-2762,6618556,5626940,3519619
1453858,6725887,472609855,472-60-9855,6618715,5626941,3519620
1453859,6725886,764996895,764-99-6895,6618788,5626942,3519621
1453860,6725885,161389380,161-38-9380,6619304,5626943,3519622
1453861,6725884,176709296,176-70-9296,6618363,5626944,3519623
1453862,6725883,195107952,195-10-7952,6453001,5626945,3519624
1453863,6725882,329998392,329-99-8392,6453288,5626946,3519625
1453864,6725881,288849061,288-84-9061,6619554,5626947,3519626
1453865,6725880,727840873,727-84-0873,6452819,5626948,3519627
1453866,6725879,711138246,711-13-8246,6453266,5626949,3519628
1453867,6725878,338443407,338-44-3407,6618792,5626950,3519629
1453868,6725877,233549927,233-54-9927,6453502,5626951,3519630
1453869,6725876,868538794,868-53-8794,6618637,5626952,3519631
1453870,6725875,169795722,169-79-5722,6619297,5626953,3519632
1453871,6725874,546206234,546-20-6234,6453093,5626954,3519633
1453872,6725873,988498946,988-49-8946,6618993,5626955,3519634
1453873,6725872,751341858,751-34-1858,6619761,5626956,3519635
1453874,6725871,721024238,721-02-4238,6453776,5626957,3519636
1453875,6725870,513585105,513-58-5105,6620380,5626958,3519637
1453876,6725869,172793165,172-79-3165,6453058,5626959,3519638
1453877,6725868,196511568,196-51-1568,6618618,5626960,3519639
1453878,6725867,235417466,235-41-7466,6618452,5626961,3519640
1453879,6725866,829045038,829-04-5038,6619938,5626962,3519641
1453880,6725865,623674703,623-67-4703,6453220,5626963,3519642
1453881,6725864,184263832,184-26-3832,6452986,5626964,3519643
1453882,6725863,223477300,223-47-7300,6452752,5626965,3519644
1453883,6725862,399591258,399-59-1258,6618393,5626966,3519645
1453884,6725861,322878365,322-87-8365,6452727,5626967,3519646
1453885,6725860,944276054,944-27-6054,6618448,5626968,3519647
1453886,6725859,917353757,917-35-3757,6452696,5626969,3519648
1453887,6725858,843948012,843-94-8012,6453120,5626970,3519649
1453888,6725857,375511633,375-51-1633,6618799,5626971,3519650
1453889,6725856,311111088,311-11-1088,6452829,5626972,3519651
1453890,6725855,943688579,943-68-8579,6618307,5626973,3519652
1453891,6725854,674923537,674-92-3537,6618629,5626974,3519653
1453892,6725853,715609488,715-60-9488,6618621,5626975,3519654
1453893,6725852,273113522,273-11-3522,6452845,5626976,3519655
1453894,6725851,374153440,374-15-3440,6618402,5626977,3519656
1453895,6725850,341559582,341-55-9582,6619031,5626978,3519657
1453896,6725849,529646386,529-64-6386,6454681,5626979,3519658
1453897,6725848,319370248,319-37-0248,6618877,5626980,3519659
1453898,6725847,863970576,863-97-0576,6621800,5626981,3519660
1453899,6725846,593477880,593-47-7880,6452795,5626982,3519661
1453900,6725845,967027926,967-02-7926,6618658,5626983,3519662
1453901,6725844,776087450,776-08-7450,6452669,5626984,3519663
1453902,6725843,735227767,735-22-7767,6618398,5626985,3519664
1453903,6725842,999238232,999-23-8232,6618367,5626986,3519665
1453904,6725841,757663365,757-66-3365,6618333,5626987,3519666
1453905,6725840,473564289,473-56-4289,6619923,5626988,3519667
1453906,6725839,923687206,923-68-7206,6453135,5626989,3519668
1453907,6725838,945302124,945-30-2124,6618551,5626990,3519669
1453908,6725837,948028135,948-02-8135,6452674,5626991,3519670
1453909,6725836,761990220,761-99-0220,6452954,5626992,3519671
1453910,6725835,196601108,196-60-1108,6452725,5626993,3519672
1453911,6725834,312229504,312-22-9504,6619778,5626994,3519673
1453912,6725833,698003036,698-00-3036,6452735,5626995,3519674
1453913,6725832,231386470,231-38-6470,6452832,5626996,3519675
1453914,6725831,335001694,335-00-1694,6619603,5626997,3519676
1453915,6725830,496980635,496-98-0635,6618588,5626998,3519677
1453916,6725829,451889164,451-88-9164,6453153,5626999,3519678
1453917,6725828,483122653,483-12-2653,6618368,5627000,3519679
1453918,6725827,657538707,657-53-8707,6452906,5627001,3519680
1453919,6725826,778454396,778-45-4396,6619397,5627002,3519681
1453920,6725825,654153756,654-15-3756,6618653,5627003,3519682
1453921,6725824,993884300,993-88-4300,6618301,5627004,3519683
1453922,6725823,715423758,715-42-3758,6619258,5627005,3519684
1453923,6725822,353358858,353-35-8858,6618303,5627006,3519685
1453924,6725821,621376806,621-37-6806,6618481,5627007,3519686
1453925,6725820,868941957,868-94-1957,6618594,5627008,3519687
1453926,6725819,744431778,744-43-1778,6618646,5627009,3519688
1453927,6725818,249608243,249-60-8243,6452920,5627010,3519689
1453928,6725817,287414163,287-41-4163,6452721,5627011,3519690
1453929,6725816,211003265,211-00-3265,6618692,5627012,3519691
1453930,6725815,723311396,723-31-1396,6453436,5627013,3519692
1453931,6725814,893115937,893-11-5937,6452972,5627014,3519693
1453932,6725813,132637499,132-63-7499,6453071,5627015,3519694
1453933,6725812,754665331,754-66-5331,6453542,5627016,3519695
1453934,6725811,286965774,286-96-5774,6452738,5627017,3519696
1453935,6725810,429602777,429-60-2777,6618592,5627018,3519697
1453936,6725809,841021075,841-02-1075,6453615,5627019,3519698
1453937,6725808,174644780,174-64-4780,6453453,5627020,3519699
1453938,6725807,871851146,871-85-1146,6618774,5627021,3519700
1453939,6725806,559504599,559-50-4599,6452883,5627022,3519701
1453940,6725805,234368704,234-36-8704,6453312,5627023,3519702
1453941,6725804,274372559,274-37-2559,6618388,5627024,3519703
1453942,6725803,998075747,998-07-5747,6618459,5627025,3519704
1453943,6725802,585893558,585-89-3558,6452926,5627026,3519705
1453944,6725801,143042509,143-04-2509,6453244,5627027,3519706
1453945,6725800,986769926,986-76-9926,6619086,5627028,3519707
1453946,6725799,475679724,475-67-9724,6618881,5627029,3519708
1453947,6725798,116759021,116-75-9021,6621919,5627030,3519709
1453948,6725797,136979578,136-97-9578,6620132,5627031,3519710
1453949,6725796,818732954,818-73-2954,6619180,5627032,3519711
1453950,6725795,969632226,969-63-2226,6452995,5627033,3519712
1453951,6725794,844084497,844-08-4497,6452805,5627034,3519713
1453952,6725793,536298152,536-29-8152,6619084,5627035,3519714
1453953,6725792,857923831,857-92-3831,6618475,5627036,3519715
1453954,6725791,558689812,558-68-9812,6452665,5627037,3519716
1453955,6725790,428064544,428-06-4544,6618662,5627038,3519717
1453956,6725789,713774435,713-77-4435,6618294,5627039,3519718
1453957,6725788,122129557,122-12-9557,6618959,5627040,3519719
1453958,6725787,226273328,226-27-3328,6452691,5627041,3519720
1453959,6725786,384187888,384-18-7888,6618521,5627042,3519721
1453960,6725785,862597404,862-59-7404,6452882,5627043,3519722
1453961,6725784,246929127,246-92-9127,6618453,5627044,3519723
1453962,6725783,967805226,967-80-5226,6619034,5627045,3519724
1453963,6725782,845144848,845-14-4848,6454891,5627046,3519725
1453964,6725781,413720055,413-72-0055,6618234,5627047,3519726
1453965,6725780,795049189,795-04-9189,6452802,5627048,3519727
1453966,6725779,473356590,473-35-6590,6620579,5627049,3519728
1453967,6725778,828998621,828-99-8621,6618284,5627050,3519729
1453968,6725777,659145544,659-14-5544,6618383,5627051,3519730
1453969,6725776,579781089,579-78-1089,6452818,5627052,3519731
1453970,6725775,515261273,515-26-1273,6618269,5627053,3519732
1453971,6725774,974637070,974-63-7070,6618438,5627054,3519733
1453972,6725773,252596258,252-59-6258,6452955,5627055,3519734
1453973,6725772,358465881,358-46-5881,6453259,5627056,3519735
1453974,6725771,958336919,958-33-6919,6453399,5627057,3519736
1453975,6725770,942016060,942-01-6060,6619014,5627058,3519737
1453976,6725769,597183799,597-18-3799,6618674,5627059,3519738
1453977,6725768,576611327,576-61-1327,6618944,5627060,3519739
1453978,6725767,976140729,976-14-0729,6452978,5627061,3519740
1453979,6725766,721403377,721-40-3377,6618315,5627062,3519741
1453980,6725765,619904855,619-90-4855,6619356,5627063,3519742
1453981,6725764,611197361,611-19-7361,6452799,5627064,3519743
1453982,6725763,161491966,161-49-1966,6452765,5627065,3519744
1453983,6725762,243823902,243-82-3902,6452909,5627066,3519745
1453984,6725761,995219522,995-21-9522,6618447,5627067,3519746
1453985,6725760,683645776,683-64-5776,6452861,5627068,3519747
1453986,6725759,414254963,414-25-4963,6452753,5627069,3519748
1453987,6725758,597805860,597-80-5860,6619442,5627070,3519749
1453988,6725757,289443246,289-44-3246,6620360,5627071,3519750
1453989,6725756,545767251,545-76-7251,6618491,5627072,3519751
1453990,6725755,689178732,689-17-8732,6618486,5627073,3519752
1453991,6725754,943278871,943-27-8871,6618263,5627074,3519753
1453992,6725753,723382423,723-38-2423,6453079,5627075,3519754
1453993,6725752,768542793,768-54-2793,6452800,5627076,3519755
1453994,6725751,347831239,347-83-1239,6452890,5627077,3519756
1453995,6725750,666745947,666-74-5947,6618227,5627078,3519757
1453996,6725749,547226325,547-22-6325,6621348,5627079,3519758
1453997,6725748,784000947,784-00-0947,6618309,5627080,3519759
1453998,6725747,986127202,986-12-7202,6618410,5627081,3519760
1453999,6725746,593009833,593-00-9833,6453570,5627082,3519761
1454000,6725745,792705244,792-70-5244,6452660,5627083,3519762
1454001,6725744,592031304,592-03-1304,6618372,5627084,3519763
1454002,6725743,674288952,674-28-8952,6452798,5627085,3519764
1454003,6725742,225412547,225-41-2547,6620443,5627086,3519765
1454004,6725741,728954059,728-95-4059,6452817,5627087,3519766
1454005,6725740,717330434,717-33-0434,6453047,5627088,3519767
1454006,6725739,731204890,731-20-4890,6452876,5627089,3519768
1454007,6725738,811126687,811-12-6687,6452658,5627090,3519769
1454008,6725737,434604103,434-60-4103,6618741,5627091,3519770
1454009,6725736,674761481,674-76-1481,6618179,5627092,3519771
1454010,6725735,625236712,625-23-6712,6618176,5627093,3519772
1454011,6725734,328656341,328-65-6341,6618225,5627094,3519773
1454012,6725733,554074624,554-07-4624,6452692,5627095,3519774
1454013,6725732,175049051,175-04-9051,6452971,5627096,3519775
1454014,6725731,767897903,767-89-7903,6453616,5627097,3519776
1454015,6725730,522898888,522-89-8888,6619382,5627098,3519777
1454016,6725729,371083014,371-08-3014,6618257,5627099,3519778
1454017,6725728,694676984,694-67-6984,6453440,5627100,3519779
1454018,6725727,449206280,449-20-6280,6453122,5627101,3519780
1454019,6725726,136968975,136-96-8975,6618386,5627102,3519781
1454020,6725725,313892841,313-89-2841,6618335,5627103,3519782
1454021,6725724,595976076,595-97-6076,6452737,5627104,3519783
1454022,6725723,133869108,133-86-9108,6453113,5627105,3519784
1454023,6725722,544249153,544-24-9153,6453873,5627106,3519785
1454024,6725721,293417427,293-41-7427,6618377,5627107,3519786
1454025,6725720,881884149,881-88-4149,6453127,5627108,3519787
1454026,6725719,253233816,253-23-3816,6618183,5627109,3519788
1454027,6725718,817837205,817-83-7205,6620014,5627110,3519789
1454028,6725717,565585967,565-58-5967,6620048,5627111,3519790
1454029,6725716,513105875,513-10-5875,6619261,5627112,3519791
1454030,6725715,341440028,341-44-0028,6618988,5627113,3519792
1454031,6725714,951592328,951-59-2328,6618202,5627114,3519793
1454032,6725713,233849060,233-84-9060,6618577,5627115,3519794
1454033,6725712,926912633,926-91-2633,6618289,5627116,3519795
1454034,6725711,349027883,349-02-7883,6618251,5627117,3519796
1454035,6725710,921808581,921-80-8581,6452962,5627118,3519797
1454036,6725709,236568197,236-56-8197,6453064,5627119,3519798
1454037,6725708,889609574,889-60-9574,6454102,5627120,3519799
1454038,6725707,359122221,359-12-2221,6618457,5627121,3519800
1454039,6725706,938359996,938-35-9996,6452898,5627122,3519801
1454040,6725705,894104522,894-10-4522,6452917,5627123,3519802
1454041,6725704,426537559,426-53-7559,6452759,5627124,3519803
1454042,6725703,522644661,522-64-4661,6618743,5627125,3519804
1454043,6725702,775087957,775-08-7957,6452866,5627126,3519805
1454044,6725701,144420623,144-42-0623,6618595,5627127,3519806
1454045,6725700,861666195,861-66-6195,6453031,5627128,3519807
1454046,6725699,819502285,819-50-2285,6618415,5627129,3519808
1454047,6725698,893625603,893-62-5603,6452687,5627130,3519809
1454048,6725697,934814129,934-81-4129,6453344,5627131,3519810
1454049,6725696,556790711,556-79-0711,6453328,5627132,3519811
1454050,6725695,849678064,849-67-8064,6618288,5627133,3519812
1454051,6725694,679589893,679-58-9893,6618712,5627134,3519813
1454052,6725693,492292656,492-29-2656,6453029,5627135,3519814
1454053,6725692,213794793,213-79-4793,6618548,5627136,3519815
1454054,6725691,762070409,762-07-0409,6453039,5627137,3519816
1454055,6725690,629188273,629-18-8273,6452989,5627138,3519817
1454056,6725689,926603121,926-60-3121,6618619,5627139,3519818
1454057,6725688,619188866,619-18-8866,6620815,5627140,3519819
1454058,6725687,277965623,277-96-5623,6453191,5627141,3519820
1454059,6725686,627074231,627-07-4231,6618338,5627142,3519821
1454060,6725685,347439185,347-43-9185,6618656,5627143,3519822
1454061,6725684,637711137,637-71-1137,6619285,5627144,3519823
1454062,6725683,398537463,398-53-7463,6620470,5627145,3519824
1454063,6725682,814396076,814-39-6076,6452889,5627146,3519825
